time,gFx,gFy,gFz,TgF
0.005059531,0.0066,0.9913,-0.0591,0.993
0.005295104,-0.0049,0.9913,-0.0503,0.993
0.005399167,-0.0132,0.9960,-0.0317,0.997
0.005500625,-0.0190,0.9989,-0.0198,0.999
0.005605208,-0.0222,1.0018,-0.0215,1.002
0.005701563,-0.0273,1.0011,-0.0215,1.002
0.005802708,-0.0288,1.0016,-0.0208,1.002
0.005894583,-0.0320,1.0040,-0.0242,1.005
0.007649688,-0.0381,1.0025,-0.0259,1.004
0.01016349,-0.0403,1.0016,-0.0303,1.003
0.011654479,-0.0444,1.0016,-0.0332,1.003
0.013966354,-0.0496,0.9994,-0.0400,1.001
0.016423281,-0.0520,0.9969,-0.0435,0.999
0.018879219,-0.0525,0.9935,-0.0476,0.996
0.021940677,-0.0510,0.9911,-0.0464,0.993
0.024243229,-0.0491,0.9901,-0.0427,0.992
0.026013854,-0.0437,0.9884,-0.0359,0.990
0.028466719,-0.0366,0.9862,-0.0330,0.987
0.030880729,-0.0305,0.9872,-0.0300,0.988
0.033102188,-0.0210,0.9864,-0.0271,0.987
0.036464948,-0.0173,0.9862,-0.0300,0.987
0.038497344,-0.0159,0.9872,-0.0295,0.988
0.040825938,-0.0137,0.9898,-0.0286,0.990
0.043144792,-0.0151,0.9903,-0.0335,0.991
0.046111198,-0.0176,0.9940,-0.0335,0.995
0.04849224,-0.0208,0.9950,-0.0335,0.996
0.050081771,-0.0247,0.9950,-0.0344,0.996
0.053311563,-0.0271,0.9969,-0.0317,0.998
0.055444844,-0.0303,0.9986,-0.0295,1.000
0.05749375,-0.0322,0.9969,-0.0337,0.998
0.059691563,-0.0332,0.9974,-0.0332,0.999
0.062200156,-0.0342,0.9977,-0.0320,0.999
0.064685,-0.0364,0.9960,-0.0325,0.997
0.066804427,-0.0349,0.9950,-0.0288,0.996
0.069266771,-0.0356,0.9967,-0.0266,0.998
0.074248854,-0.0369,0.9962,-0.0266,0.997
0.074627031,-0.0359,0.9942,-0.0247,0.995
0.077194583,-0.0356,0.9916,-0.0247,0.993
0.078950052,-0.0361,0.9933,-0.0251,0.994
0.081256458,-0.0361,0.9903,-0.0254,0.991
0.08367151,-0.0349,0.9896,-0.0271,0.991
0.08590151,-0.0232,0.9723,-0.0383,0.973
0.088719323,-0.0186,0.9698,-0.0349,0.971
0.091199167,-0.0244,0.9781,-0.0320,0.979
0.093276042,-0.0305,0.9886,-0.0288,0.990
0.095749531,-0.0342,0.9984,-0.0247,0.999
0.098861719,-0.0381,1.0050,-0.0254,1.006
0.10121875,-0.0366,1.0047,-0.0273,1.006
0.102611406,-0.0347,1.0035,-0.0344,1.005
0.10581901,-0.0332,1.0052,-0.0383,1.007
0.107729063,-0.0335,1.0062,-0.0449,1.008
0.110496719,-0.0317,1.0055,-0.0459,1.007
0.112495313,-0.0337,1.0065,-0.0476,1.008
0.114832917,-0.0344,1.0047,-0.0442,1.006
0.117143438,-0.0356,1.0006,-0.0447,1.002
0.119551771,-0.0366,0.9964,-0.0388,0.998
0.12199776,-0.0366,0.9930,-0.0364,0.994
0.124600573,-0.0378,0.9898,-0.0332,0.991
0.126853906,-0.0388,0.9857,-0.0320,0.987
0.129206615,-0.0386,0.9845,-0.0335,0.986
0.131590417,-0.0374,0.9833,-0.0335,0.985
0.134069427,-0.0369,0.9837,-0.0383,0.985
0.1363975,-0.0405,0.9837,-0.0420,0.985
0.138736146,-0.0420,0.9852,-0.0486,0.987
0.141515833,-0.0386,0.9852,-0.0503,0.987
0.143609688,-0.0408,0.9874,-0.0532,0.990
0.145765573,-0.0398,0.9891,-0.0540,0.991
0.148435469,-0.0388,0.9903,-0.0496,0.992
0.150631406,-0.0388,0.9903,-0.0457,0.992
0.153223698,-0.0391,0.9925,-0.0405,0.994
0.155646198,-0.0332,0.9935,-0.0337,0.995
0.158504271,-0.0308,0.9950,-0.0303,0.996
0.160562708,-0.0244,0.9950,-0.0256,0.996
0.162764687,-0.0205,0.9938,-0.0210,0.994
0.165011979,-0.0190,0.9940,-0.0188,0.994
0.167525937,-0.0134,0.9957,-0.0168,0.996
0.169741615,-0.0122,0.9938,-0.0164,0.994
