time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003043,0.9502,-0.3283,0.2066,1.026
0.003391,0.6420,-0.3064,-0.0531,0.713
0.003551,0.2514,-0.1460,-0.1074,0.310
0.003708,-0.0647,0.0022,0.0339,0.073
0.003863,-0.2708,0.1383,0.2205,0.376
0.004016,-0.4008,0.1907,0.2611,0.515
0.004168,-0.4449,0.1522,0.1803,0.504
0.011939,-0.4247,0.1090,0.0567,0.442
0.012367,-0.3832,0.0444,0.0098,0.386
0.018943,-0.2774,0.0109,0.0323,0.280
0.019328,-0.1577,-0.0297,0.0620,0.172
0.024475,-0.0334,-0.0654,0.0488,0.088
0.028075,0.0452,-0.0796,0.0262,0.095
0.034072,0.1287,-0.0794,0.0202,0.153
0.038037,0.1928,-0.0577,0.0166,0.202
0.042755,0.2379,-0.0384,0.0392,0.244
0.048087,0.2615,-0.0383,0.0523,0.269
0.051648,0.2160,0.0048,0.0177,0.217
0.056801,0.1564,0.0144,-0.0433,0.163
0.061474,0.0709,0.0144,-0.1138,0.135
0.067169,-0.0408,0.0239,-0.1222,0.131
0.072036,-0.1738,0.0120,-0.0901,0.196
0.076238,-0.2711,0.0048,-0.0102,0.271
0.080964,-0.2919,-0.0023,0.0123,0.292
0.086592,-0.2605,-0.0071,0.0061,0.261
0.095436,-0.2316,-0.0261,-0.0025,0.233
0.096135,-0.1623,-0.0308,0.0297,0.168
0.099968,-0.0765,-0.0497,0.0522,0.105
0.104998,0.0163,-0.0448,0.0295,0.056
0.109859,0.1282,-0.0399,0.0425,0.141
0.114250,0.2352,-0.0230,0.0675,0.246
0.119939,0.3039,-0.0396,0.1092,0.325
0.124044,0.3179,-0.0252,0.0792,0.329
0.128848,0.3130,-0.0036,0.0398,0.315
0.133344,0.2629,0.0037,0.0004,0.263
0.138670,0.1606,0.0228,-0.0320,0.165
0.143443,0.0657,0.0467,-0.0069,0.081
0.147908,-0.0219,0.0084,-0.0033,0.024
0.152586,-0.1071,-0.0012,0.0266,0.110
0.157620,-0.1755,-0.0513,0.0087,0.183
0.162346,-0.2129,-0.0704,0.0698,0.235
0.168005,-0.1836,-0.1300,0.0686,0.235
0.171927,-0.1211,-0.1321,0.0652,0.191
0.177596,-0.0158,-0.0984,0.0427,0.108
0.182501,0.1014,-0.0719,0.0609,0.138
0.185764,0.1539,0.0024,0.0384,0.159
0.191498,0.1827,0.0693,0.0135,0.196
0.196083,0.1831,0.1051,-0.0161,0.212
0.201535,0.1478,0.1289,-0.0146,0.197
0.205501,0.0912,0.1121,-0.0156,0.145
0.210542,-0.0084,0.0594,0.0430,0.074
0.215147,-0.1046,-0.0052,0.0583,0.120
0.219802,-0.2215,-0.0715,0.0546,0.239
0.224784,-0.2589,-0.1048,-0.0084,0.279
0.229580,-0.2279,-0.1299,-0.0328,0.264
0.234164,-0.1499,-0.1240,-0.0238,0.196
0.239131,0.0269,-0.0706,-0.0290,0.081
0.243803,0.1594,-0.0296,0.0131,0.163
0.249982,0.2625,0.0016,0.0809,0.275
0.253315,0.2938,0.0088,0.0678,0.302
0.260024,0.2872,-0.0030,-0.0045,0.287
0.263225,0.2595,-0.0100,-0.0690,0.269
0.267668,0.2109,-0.0193,-0.0761,0.225
0.272378,0.1200,-0.0286,-0.0072,0.124
0.277589,0.0324,-0.0331,0.0824,0.095
0.281988,-0.0307,-0.0351,0.1216,0.130
0.295770,-0.0958,-0.0442,0.1204,0.160
0.296474,-0.0774,-0.0770,0.0909,0.142
0.296723,-0.0476,-0.0928,0.1117,0.153
0.301299,0.0295,-0.0872,0.1560,0.181
0.306225,0.0918,-0.0365,0.1978,0.221
0.310950,0.1750,0.0067,0.1944,0.262
0.315730,0.1984,0.0305,0.1390,0.244
0.321067,0.2076,0.0446,0.1174,0.243
