time,gFx,gFy,gFz,TgF
0.002947448,-0.0510,0.9928,-0.0352,0.995
0.003188854,-0.0525,0.9957,-0.0381,0.998
0.003299792,-0.0569,0.9969,-0.0391,0.999
0.003409167,-0.0620,0.9984,-0.0337,1.001
0.003511875,-0.0701,0.9991,-0.0308,1.002
0.003619635,-0.0781,0.9986,-0.0291,1.002
0.003716354,-0.0867,0.9950,-0.0278,0.999
0.003814114,-0.0952,0.9972,-0.0271,1.002
0.005506771,-0.1006,0.9955,-0.0264,1.001
0.006945937,-0.1072,0.9930,-0.0283,0.999
0.009353646,-0.1079,0.9877,-0.0308,0.994
0.020521719,-0.1116,0.9867,-0.0349,0.994
0.020853698,-0.1123,0.9855,-0.0361,0.992
0.020962031,-0.1118,0.9855,-0.0378,0.992
0.02105776,-0.1087,0.9825,-0.0359,0.989
0.021350677,-0.1062,0.9833,-0.0347,0.990
0.023737135,-0.0994,0.9825,-0.0313,0.988
0.026282448,-0.0947,0.9828,-0.0283,0.988
0.028655104,-0.0886,0.9845,-0.0264,0.989
0.031095208,-0.0825,0.9852,-0.0234,0.989
0.033706771,-0.0781,0.9872,-0.0210,0.990
0.035994844,-0.0747,0.9886,-0.0193,0.992
0.038674635,-0.0691,0.9911,-0.0220,0.994
0.040699635,-0.0686,0.9940,-0.0251,0.997
0.043152917,-0.0657,0.9964,-0.0273,0.999
0.045827396,-0.0647,1.0001,-0.0308,1.003
0.047999271,-0.0635,0.9991,-0.0305,1.002
0.050456198,-0.0610,1.0013,-0.0354,1.004
0.052653021,-0.0654,1.0018,-0.0361,1.005
0.055220937,-0.0701,1.0011,-0.0369,1.004
0.057551823,-0.0696,1.0008,-0.0364,1.004
0.059777083,-0.0742,0.9996,-0.0352,1.003
0.062415417,-0.0752,0.9994,-0.0337,1.003
0.064928646,-0.0776,0.9962,-0.0335,1.000
0.067100677,-0.0798,0.9974,-0.0347,1.001
0.069573073,-0.0816,0.9945,-0.0344,0.998
0.071725,-0.0818,0.9920,-0.0374,0.996
0.07403901,-0.0857,0.9901,-0.0366,0.994
0.076621719,-0.0837,0.9879,-0.0335,0.992
0.078944687,-0.0867,0.9852,-0.0317,0.990
0.081468177,-0.0896,0.9835,-0.0288,0.988
0.084740885,-0.0930,0.9857,-0.0298,0.991
0.086292396,-0.0947,0.9845,-0.0283,0.989
0.088775104,-0.0947,0.9852,-0.0271,0.990
0.090866302,-0.0977,0.9862,-0.0281,0.991
0.093515625,-0.0991,0.9877,-0.0320,0.993
0.095781146,-0.1004,0.9881,-0.0354,0.994
0.098293073,-0.0989,0.9911,-0.0378,0.997
0.100730156,-0.0969,0.9903,-0.0430,0.996
0.102985677,-0.0960,0.9925,-0.0491,0.998
0.105415521,-0.0918,0.9908,-0.0496,0.996
0.107680104,-0.0889,0.9925,-0.0515,0.998
0.110089635,-0.0845,0.9916,-0.0488,0.996
0.112475312,-0.0791,0.9962,-0.0439,1.000
0.115463489,-0.0754,0.9962,-0.0400,1.000
0.117454479,-0.0725,0.9960,-0.0388,0.999
0.119830521,-0.0696,0.9955,-0.0337,0.998
0.122042187,-0.0669,0.9940,-0.0330,0.997
0.124430885,-0.0642,0.9920,-0.0349,0.995
0.126847083,-0.0637,0.9898,-0.0374,0.993
0.1292575,-0.0603,0.9898,-0.0369,0.992
0.132219687,-0.0576,0.9913,-0.0381,0.994
0.134322604,-0.0579,0.9889,-0.0388,0.991
0.136572708,-0.0586,0.9918,-0.0391,0.994
0.138841979,-0.0586,0.9942,-0.0381,0.997
0.141272031,-0.0610,0.9920,-0.0356,0.995
0.143612292,-0.0603,0.9930,-0.0349,0.995
0.146078333,-0.0623,0.9945,-0.0349,0.997
0.148815156,-0.0684,0.9972,-0.0322,1.000
0.150804219,-0.0723,0.9945,-0.0356,0.998
0.153714635,-0.0750,0.9962,-0.0366,1.000
0.155793854,-0.0818,0.9960,-0.0403,1.000
0.158074635,-0.0850,0.9955,-0.0388,1.000
0.1610275,-0.0872,0.9945,-0.0410,0.999
0.163682812,-0.0947,0.9935,-0.0408,0.999
0.165720521,-0.0967,0.9950,-0.0396,1.000
0.167709531,-0.1033,0.9955,-0.0376,1.002
0.170048125,-0.1065,0.9933,-0.0349,1.000
0.172502135,-0.1094,0.9920,-0.0349,0.999
0.17490875,-0.1099,0.9930,-0.0369,1.000
0.177282031,-0.1138,0.9911,-0.0400,0.998
0.181658021,-0.1133,0.9920,-0.0415,0.999
0.182608802,-0.1143,0.9920,-0.0425,1.000
0.185715469,-0.1126,0.9925,-0.0398,1.000
0.186947656,-0.1133,0.9925,-0.0410,1.000
0.189317448,-0.1135,0.9923,-0.0425,1.000
0.191756406,-0.1106,0.9930,-0.0432,1.000
0.194027396,-0.1113,0.9903,-0.0452,0.998
0.196911406,-0.1084,0.9884,-0.0493,0.996
0.199059844,-0.1055,0.9859,-0.0532,0.993
0.201418646,-0.1045,0.9872,-0.0508,0.994
0.207189479,-0.1008,0.9833,-0.0483,0.990
0.20748,-0.0984,0.9845,-0.0466,0.990
0.208268854,-0.0952,0.9830,-0.0464,0.989
0.210768489,-0.0928,0.9825,-0.0486,0.988
0.214119167,-0.0874,0.9811,-0.0503,0.986
0.21607651,-0.0872,0.9808,-0.0505,0.986
0.217980208,-0.0811,0.9803,-0.0566,0.985
0.220480312,-0.0813,0.9781,-0.0523,0.983
0.222698073,-0.0720,0.9742,-0.0559,0.978
0.225195416,-0.0647,0.9691,-0.0515,0.973
0.227500521,-0.0608,0.9647,-0.0410,0.967
0.230301927,-0.0681,0.9684,-0.0344,0.971
0.232546406,-0.0706,0.9730,-0.0298,0.976
0.234866771,-0.0737,0.9725,-0.0347,0.976
0.237275989,-0.0789,0.9750,-0.0342,0.979
0.239555469,-0.0798,0.9786,-0.0347,0.982
0.241901458,-0.0794,0.9830,-0.0332,0.987
0.244303125,-0.0823,0.9886,-0.0266,0.992
0.247133177,-0.0855,0.9955,-0.0222,0.999
0.249663594,-0.0872,0.9972,-0.0166,1.001
0.251630573,-0.0886,1.0045,-0.0134,1.008
0.253850937,-0.0930,1.0067,-0.0139,1.011
0.256285416,-0.0960,1.0067,-0.0134,1.011
0.258684896,-0.1011,1.0074,-0.0200,1.013
0.261112135,-0.1021,1.0072,-0.0220,1.013
0.263723385,-0.1060,1.0060,-0.0242,1.012
0.266262812,-0.1094,1.0062,-0.0256,1.012
0.268523021,-0.1126,1.0016,-0.0269,1.008
0.270674583,-0.1150,1.0011,-0.0283,1.008
0.273198646,-0.1174,1.0001,-0.0293,1.007
0.275428854,-0.1221,0.9952,-0.0266,1.003
0.277804375,-0.1223,0.9901,-0.0249,0.998
0.282720469,-0.1214,0.9852,-0.0230,0.993
0.283081927,-0.1162,0.9796,-0.0220,0.987
0.285933177,-0.1148,0.9781,-0.0203,0.985
0.287590833,-0.1111,0.9740,-0.0254,0.981
0.289838125,-0.1065,0.9730,-0.0264,0.979
0.292309531,-0.0969,0.9740,-0.0354,0.979
0.294664479,-0.0899,0.9742,-0.0388,0.979
0.297299062,-0.0825,0.9742,-0.0369,0.978
0.299669271,-0.0701,0.9750,-0.0332,0.978
0.30203,-0.0584,0.9757,-0.0317,0.978
0.304359062,-0.0483,0.9796,-0.0281,0.981
0.306792344,-0.0405,0.9842,-0.0200,0.985
0.309113594,-0.0359,0.9889,-0.0161,0.990
0.31137526,-0.0320,0.9938,-0.0151,0.994
0.3139125,-0.0320,1.0003,-0.0159,1.001
0.320709635,-0.0303,1.0013,-0.0230,1.002
0.321038021,-0.0335,1.0025,-0.0283,1.004
0.321375416,-0.0376,1.0025,-0.0344,1.004
0.323388333,-0.0469,1.0033,-0.0366,1.005
0.325962291,-0.0576,1.0043,-0.0400,1.007
0.328228594,-0.0711,1.0023,-0.0447,1.006
0.330771979,-0.0820,0.9996,-0.0491,1.004
0.333427864,-0.0923,0.9969,-0.0547,1.003
0.335621614,-0.1018,0.9938,-0.0625,1.001
0.337787552,-0.1065,0.9886,-0.0625,0.996
0.340109114,-0.1113,0.9855,-0.0645,0.994
0.342503385,-0.1157,0.9830,-0.0608,0.992
0.345852396,-0.1177,0.9820,-0.0557,0.991
0.34771526,-0.1204,0.9801,-0.0515,0.989
0.349943854,-0.1223,0.9798,-0.0442,0.988
0.352489479,-0.1243,0.9786,-0.0447,0.987
0.354417187,-0.1248,0.9769,-0.0496,0.986
0.3569675,-0.1257,0.9803,-0.0549,0.990
0.359175052,-0.1255,0.9845,-0.0562,0.994
0.361594896,-0.1243,0.9867,-0.0586,0.996
0.364571041,-0.1289,0.9923,-0.0606,1.002
0.366697031,-0.1257,0.9960,-0.0598,1.006
0.369179791,-0.1253,0.9974,-0.0608,1.007
0.371314323,-0.1196,1.0025,-0.0632,1.012
0.373656823,-0.1148,1.0043,-0.0671,1.013
0.376097552,-0.1069,1.0028,-0.0713,1.011
0.378442708,-0.1006,1.0021,-0.0723,1.010
