time,gFx,gFy,gFz,TgF
0.001958333,0.0344,1.0130,-0.0361,1.014
0.002358594,0.0337,1.0138,-0.0352,1.015
0.002564896,0.0288,1.0104,-0.0349,1.011
0.002762292,0.0261,1.0069,-0.0352,1.008
0.002959583,0.0217,1.0047,-0.0388,1.006
0.005587812,0.0171,1.0011,-0.0427,1.002
0.007907083,0.0129,0.9955,-0.0427,0.996
0.010975625,0.0110,0.9928,-0.0432,0.994
0.013008125,0.0088,0.9874,-0.0457,0.988
0.015255052,0.0042,0.9847,-0.0459,0.986
0.017696302,0.0039,0.9852,-0.0413,0.986
0.019652448,0.0049,0.9828,-0.0400,0.984
0.022199531,0.0049,0.9825,-0.0376,0.983
0.024879948,0.0027,0.9828,-0.0322,0.983
0.028337083,0.0034,0.9847,-0.0298,0.985
0.029791354,0.0012,0.9850,-0.0273,0.985
0.03207401,0.0039,0.9894,-0.0271,0.990
0.034323125,0.0061,0.9928,-0.0298,0.993
0.036461406,0.0100,0.9957,-0.0332,0.996
0.039085156,0.0159,0.9999,-0.0369,1.001
0.041624896,0.0220,1.0023,-0.0405,1.003
0.045300469,0.0273,1.0045,-0.0422,1.006
0.046796823,0.0335,1.0057,-0.0466,1.007
0.048797396,0.0376,1.0033,-0.0486,1.005
0.051392708,0.0422,1.0013,-0.0459,1.003
0.053580885,0.0418,0.9999,-0.0405,1.002
0.055884271,0.0413,0.9967,-0.0356,0.998
0.058223281,0.0400,0.9942,-0.0315,0.996
0.061944531,0.0374,0.9920,-0.0266,0.993
0.063144219,0.0303,0.9891,-0.0220,0.990
0.065664583,0.0249,0.9906,-0.0222,0.991
0.071505365,0.0186,0.9881,-0.0234,0.989
0.071805156,0.0122,0.9857,-0.0271,0.986
0.072633698,0.0054,0.9864,-0.0303,0.987
0.075820677,0.0010,0.9872,-0.0305,0.988
0.079102604,-0.0063,0.9879,-0.0293,0.988
0.080565573,-0.0139,0.9901,-0.0293,0.991
0.082431042,-0.0178,0.9913,-0.0286,0.992
0.085128698,-0.0215,0.9923,-0.0283,0.993
0.087135104,-0.0266,0.9940,-0.0266,0.995
0.089667187,-0.0276,0.9967,-0.0278,0.997
0.093355156,-0.0320,0.9962,-0.0276,0.997
0.096711406,-0.0339,0.9972,-0.0286,0.998
0.099174583,-0.0322,0.9969,-0.0266,0.998
0.099773333,-0.0310,0.9979,-0.0266,0.999
0.103325156,-0.0283,0.9957,-0.0273,0.996
0.105250156,-0.0227,0.9960,-0.0317,0.997
0.109949531,-0.0171,0.9955,-0.0366,0.996
0.113639427,-0.0115,0.9935,-0.0408,0.994
0.113932396,-0.0103,0.9889,-0.0469,0.990
0.114312396,-0.0029,0.9879,-0.0483,0.989
0.122179219,0.0034,0.9850,-0.0486,0.986
0.123015573,0.0085,0.9872,-0.0444,0.988
0.125419375,0.0117,0.9869,-0.0420,0.988
0.138393125,0.0137,0.9891,-0.0422,0.990
0.139126823,0.0159,0.9872,-0.0413,0.988
0.139428437,0.0198,0.9894,-0.0405,0.990
0.139688489,0.0220,0.9901,-0.0432,0.991
0.139946927,0.0232,0.9913,-0.0464,0.993
0.140219167,0.0237,0.9913,-0.0481,0.993
0.140494375,0.0244,0.9913,-0.0476,0.993
0.15279776,0.0242,0.9908,-0.0474,0.992
0.153249323,0.0251,0.9916,-0.0457,0.993
0.153403073,0.0242,0.9945,-0.0449,0.996
0.153556406,0.0217,0.9928,-0.0457,0.994
0.155472448,0.0205,0.9938,-0.0403,0.995
0.155630312,0.0159,0.9938,-0.0403,0.995
0.155764739,0.0127,0.9916,-0.0400,0.992
0.156512708,0.0078,0.9916,-0.0361,0.992
0.161020989,0.0046,0.9913,-0.0381,0.992
0.175399739,0.0022,0.9886,-0.0366,0.989
