time,gFx,gFy,gFz,TgF
0.001939896,-0.0230,0.9974,-0.0393,0.998
0.002174948,-0.0278,0.9950,-0.0396,0.996
0.00229224,-0.0295,0.9911,-0.0400,0.992
0.002394375,-0.0315,0.9881,-0.0391,0.989
0.003716979,-0.0303,0.9891,-0.0371,0.990
0.006645469,-0.0234,0.9855,-0.0383,0.986
0.00946151,-0.0127,0.9823,-0.0386,0.983
0.011043542,-0.0017,0.9818,-0.0418,0.983
0.013544479,0.0088,0.9796,-0.0432,0.981
0.017382552,0.0188,0.9793,-0.0454,0.981
0.018626458,0.0283,0.9818,-0.0469,0.983
0.020608646,0.0325,0.9828,-0.0466,0.984
0.023064219,0.0337,0.9859,-0.0447,0.988
0.027123281,0.0356,0.9884,-0.0418,0.990
0.028550417,0.0325,0.9911,-0.0405,0.992
0.030378073,0.0281,0.9923,-0.0405,0.994
0.03257974,0.0230,0.9962,-0.0398,0.997
0.035006042,0.0146,0.9996,-0.0403,1.001
0.037337448,0.0054,1.0028,-0.0391,1.004
0.039794375,-0.0027,1.0035,-0.0381,1.004
0.043907656,-0.0122,1.0038,-0.0381,1.005
0.04474224,-0.0247,1.0016,-0.0339,1.002
0.047092292,-0.0330,1.0016,-0.0308,1.003
0.049316615,-0.0413,0.9991,-0.0271,1.000
0.051937604,-0.0510,0.9989,-0.0281,1.001
0.055084427,-0.0571,0.9981,-0.0271,1.000
0.057330677,-0.0601,0.9925,-0.0295,0.995
0.059489583,-0.0662,0.9916,-0.0273,0.994
0.06131724,-0.0689,0.9911,-0.0242,0.994
0.064218854,-0.0713,0.9874,-0.0244,0.990
0.066024323,-0.0696,0.9884,-0.0244,0.991
0.068392031,-0.0676,0.9867,-0.0242,0.989
0.070856198,-0.0652,0.9889,-0.0234,0.991
0.07332401,-0.0640,0.9908,-0.0215,0.993
0.075801927,-0.0603,0.9906,-0.0198,0.993
0.078259427,-0.0544,0.9950,-0.0173,0.997
0.08280875,-0.0530,0.9977,-0.0222,0.999
0.083066354,-0.0464,0.9981,-0.0244,1.000
0.085463177,-0.0391,1.0006,-0.0271,1.002
0.087697708,-0.0330,1.0021,-0.0354,1.003
0.090198542,-0.0256,0.9989,-0.0378,1.000
0.093515365,-0.0203,0.9952,-0.0420,0.996
0.094841771,-0.0125,0.9945,-0.0413,0.995
0.09735526,-0.0090,0.9928,-0.0400,0.994
0.099659115,-0.0081,0.9920,-0.0391,0.993
0.102308125,-0.0042,0.9903,-0.0376,0.991
0.10446474,-0.0063,0.9889,-0.0361,0.990
0.106835208,-0.0039,0.9896,-0.0344,0.990
0.11095,-0.0049,0.9879,-0.0354,0.989
0.111533177,-0.0039,0.9869,-0.0388,0.988
0.114006042,-0.0034,0.9859,-0.0388,0.987
0.116407344,-0.0071,0.9884,-0.0425,0.989
0.118769323,-0.0049,0.9881,-0.0461,0.989
0.121422344,-0.0068,0.9879,-0.0437,0.989
0.123695156,-0.0059,0.9872,-0.0457,0.988
0.127580677,-0.0083,0.9877,-0.0457,0.989
0.128415365,-0.0081,0.9884,-0.0420,0.989
0.130775625,-0.0076,0.9903,-0.0437,0.991
