time,gFx,gFy,gFz,TgF
0.003797136,-0.1087,1.0065,-0.0037,1.012
0.004202031,-0.1043,1.0040,-0.0073,1.009
0.004410104,-0.0989,0.9986,-0.0149,1.004
0.004605261,-0.0925,0.9920,-0.0308,0.997
0.004799948,-0.0842,0.9901,-0.0396,0.994
0.004995261,-0.0786,0.9855,-0.0479,0.990
0.005184792,-0.0686,0.9803,-0.0503,0.984
0.005377448,-0.0635,0.9772,-0.0508,0.981
0.005567292,-0.0606,0.9730,-0.0466,0.976
0.005760938,-0.0603,0.9718,-0.0400,0.974
0.009294115,-0.0647,0.9730,-0.0325,0.976
0.010325834,-0.0686,0.9769,-0.0288,0.980
0.012568854,-0.0764,0.9784,-0.0259,0.982
0.014948646,-0.0857,0.9830,-0.0244,0.987
0.018515,-0.0957,0.9852,-0.0264,0.990
0.021315052,-0.1087,0.9889,-0.0281,0.995
0.022442084,-0.1182,0.9896,-0.0315,0.997
0.024688438,-0.1287,0.9911,-0.0359,1.000
0.028001042,-0.1355,0.9918,-0.0410,1.002
0.030712604,-0.1402,0.9942,-0.0439,1.005
0.032914271,-0.1428,0.9928,-0.0449,1.004
0.035028802,-0.1438,0.9933,-0.0449,1.005
0.03696625,-0.1482,0.9938,-0.0447,1.006
0.039258802,-0.1506,0.9925,-0.0435,1.005
0.042885625,-0.1485,0.9942,-0.0403,1.006
0.044062448,-0.1455,0.9908,-0.0378,1.002
0.046411459,-0.1409,0.9916,-0.0388,1.002
0.048641979,-0.1333,0.9901,-0.0413,1.000
0.052543906,-0.1289,0.9889,-0.0422,0.998
0.053770365,-0.1231,0.9874,-0.0471,0.996
0.056547136,-0.1182,0.9884,-0.0479,0.997
0.058743386,-0.1123,0.9869,-0.0501,0.995
0.060815886,-0.1052,0.9867,-0.0474,0.993
0.063195521,-0.1033,0.9872,-0.0449,0.994
0.065621146,-0.0999,0.9886,-0.0425,0.995
0.07008974,-0.1001,0.9894,-0.0425,0.995
0.070452813,-0.0991,0.9884,-0.0415,0.994
0.072935052,-0.0984,0.9898,-0.0413,0.996
0.075131354,-0.0984,0.9903,-0.0439,0.996
0.077465573,-0.0999,0.9908,-0.0439,0.997
0.079865156,-0.1021,0.9898,-0.0464,0.996
0.082256771,-0.1038,0.9920,-0.0454,0.998
0.085506979,-0.1062,0.9901,-0.0427,0.997
0.087261667,-0.1050,0.9901,-0.0405,0.996
0.089492761,-0.1089,0.9911,-0.0391,0.998
0.091964792,-0.1065,0.9913,-0.0400,0.998
0.094253125,-0.1091,0.9872,-0.0405,0.994
0.096574167,-0.1072,0.9850,-0.0427,0.992
0.099069323,-0.1079,0.9874,-0.0427,0.994
0.102123802,-0.1089,0.9850,-0.0476,0.992
0.10397599,-0.1077,0.9837,-0.0479,0.991
0.106461667,-0.1094,0.9850,-0.0498,0.992
0.108704167,-0.1162,0.9825,-0.0464,0.990
0.111031823,-0.1174,0.9808,-0.0430,0.989
0.113431302,-0.1218,0.9835,-0.0374,0.992
0.115914219,-0.1238,0.9833,-0.0347,0.992
0.118507344,-0.1270,0.9830,-0.0295,0.992
0.120778021,-0.1306,0.9837,-0.0305,0.993
0.123116823,-0.1314,0.9840,-0.0298,0.993
0.125873021,-0.1331,0.9842,-0.0300,0.994
0.127964844,-0.1367,0.9837,-0.0303,0.994
0.130205313,-0.1348,0.9862,-0.0291,0.996
0.132605781,-0.1338,0.9857,-0.0303,0.995
0.136611094,-0.1299,0.9869,-0.0298,0.996
0.137452865,-0.1301,0.9894,-0.0322,0.998
0.140143854,-0.1255,0.9908,-0.0325,0.999
0.142279792,-0.1218,0.9916,-0.0359,1.000
0.144807292,-0.1145,0.9962,-0.0376,1.003
0.147039427,-0.1109,0.9974,-0.0398,1.004
0.149235573,-0.1057,0.9989,-0.0400,1.005
0.152934531,-0.1023,1.0001,-0.0437,1.006
0.154169063,-0.1004,0.9977,-0.0444,1.004
0.156870469,-0.0957,0.9955,-0.0481,1.001
0.159754271,-0.0952,0.9935,-0.0488,0.999
0.162585313,-0.0896,0.9918,-0.0469,0.997
0.164776198,-0.0879,0.9903,-0.0430,0.995
0.167150469,-0.0855,0.9891,-0.0388,0.994
0.170340208,-0.0906,0.9872,-0.0374,0.992
0.170830313,-0.0864,0.9869,-0.0327,0.991
0.173355886,-0.0889,0.9864,-0.0344,0.991
0.175752031,-0.0938,0.9867,-0.0342,0.992
0.178170938,-0.0969,0.9859,-0.0344,0.991
0.180532865,-0.1004,0.9857,-0.0352,0.991
0.18405625,-0.1045,0.9840,-0.0388,0.990
0.185748386,-0.1116,0.9845,-0.0364,0.991
0.187859896,-0.1187,0.9840,-0.0356,0.992
0.190170781,-0.1235,0.9852,-0.0310,0.993
0.192565833,-0.1262,0.9813,-0.0271,0.990
0.194922708,-0.1287,0.9820,-0.0249,0.991
0.19739724,-0.1294,0.9793,-0.0232,0.988
0.200853021,-0.1301,0.9791,-0.0266,0.988
0.202448229,-0.1294,0.9786,-0.0281,0.988
