time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003328,0.1887,-0.1350,0.2858,0.368
0.004020,0.2050,-0.1109,0.1507,0.278
0.004238,0.1406,-0.0391,0.0157,0.147
0.004462,0.0192,0.0591,-0.0239,0.067
0.004662,-0.0637,0.1117,0.0678,0.145
0.010120,-0.1347,0.1188,0.1022,0.207
0.010557,-0.1365,0.0662,0.0938,0.178
0.015528,-0.1169,0.0064,0.0402,0.124
0.020106,-0.0761,-0.0390,0.0270,0.090
0.025762,-0.0233,-0.0485,0.0377,0.066
0.029565,0.0032,-0.0651,0.0077,0.066
0.034778,-0.0058,-0.0075,0.0445,0.045
0.039216,-0.0316,0.0403,0.0979,0.110
0.044103,-0.0241,0.0667,0.1298,0.148
0.048920,-0.0168,0.0857,0.0972,0.131
0.054482,0.0238,0.0713,0.0980,0.124
0.059237,0.0238,0.0689,0.1322,0.151
0.063605,-0.0094,0.0091,0.1259,0.127
0.068119,-0.0640,-0.0267,0.0623,0.093
0.074224,-0.1089,-0.0624,-0.0275,0.129
0.077406,-0.1564,-0.0838,-0.0289,0.180
0.082812,-0.1801,-0.0717,0.0007,0.194
0.087166,-0.1800,-0.0477,0.0040,0.186
0.092795,-0.1777,-0.0142,0.0026,0.178
0.098510,-0.1707,0.0025,-0.0038,0.171
0.101863,-0.1613,-0.0094,-0.0007,0.162
0.106350,-0.1232,-0.0572,0.0454,0.143
0.111206,-0.0638,-0.0882,0.0460,0.118
0.116125,-0.0163,-0.1359,0.0349,0.141
0.121410,0.0191,-0.1238,-0.0406,0.132
0.125536,0.0449,-0.0902,-0.0848,0.132
0.130304,0.0517,-0.0495,-0.0575,0.092
0.135878,0.0538,-0.0016,0.0056,0.054
0.139938,0.0392,0.0318,0.0543,0.074
0.144616,0.0248,0.0438,0.0862,0.100
0.149603,0.0271,0.0772,0.0845,0.118
0.154229,0.0607,0.0581,0.0423,0.094
0.159918,0.0918,0.0413,0.0050,0.101
0.164124,0.1183,-0.0160,-0.0323,0.124
0.168666,0.1305,-0.0613,-0.0672,0.159
0.173780,0.1396,-0.0773,-0.0468,0.166
0.178413,0.0871,-0.0694,0.0305,0.115
0.186380,0.0448,-0.0663,0.1025,0.130
0.187682,-0.0210,-0.0585,0.1076,0.124
0.192592,-0.0719,-0.0270,0.1056,0.131
0.198027,-0.1224,0.0185,0.1273,0.178
0.202739,-0.1441,0.0280,0.1465,0.207
0.207197,-0.1230,0.0279,0.1276,0.179
0.213617,-0.0903,0.0183,0.1253,0.156
0.217448,-0.0247,-0.0102,0.1114,0.115
0.221296,0.0710,-0.0290,0.0382,0.086
0.226988,0.1659,-0.0666,-0.0556,0.187
0.231129,0.2151,-0.0588,-0.0800,0.237
0.235882,0.2050,-0.0392,-0.0709,0.220
0.240366,0.1145,-0.0054,-0.0476,0.124
0.246953,0.0346,0.0209,-0.0412,0.058
0.250468,-0.0233,0.0352,-0.0039,0.042
0.255244,-0.0879,0.0257,0.0282,0.096
0.260051,-0.1236,0.0020,0.0435,0.131
0.264837,-0.1259,-0.0311,0.0681,0.146
0.269254,-0.1068,-0.0449,0.0806,0.141
0.275049,-0.0856,-0.0609,0.0338,0.110
0.280848,-0.0813,-0.0317,-0.0174,0.089
0.283935,-0.0534,0.0138,-0.0540,0.077
0.288425,-0.0355,0.0660,-0.0239,0.079
0.294140,-0.0036,0.0941,0.0223,0.097
0.298280,0.0352,0.1005,0.0421,0.115
0.305187,0.0452,0.0999,-0.0212,0.112
0.307505,0.0102,0.0707,-0.0840,0.110
0.321687,-0.0196,0.0347,-0.1060,0.113
0.322482,-0.0610,-0.0437,-0.0567,0.094
0.325444,-0.0736,-0.1001,0.0324,0.128
0.326920,-0.1124,-0.1347,0.1065,0.205
0.332184,-0.1581,-0.1358,0.1067,0.234
0.336374,-0.1892,-0.1156,0.0618,0.230
0.341102,-0.2035,-0.0718,0.0411,0.220
0.346870,-0.2299,-0.0355,0.0371,0.236
0.350907,-0.2396,-0.0019,0.0521,0.245
0.355566,-0.2139,0.0124,0.0788,0.228
0.360249,-0.1931,0.0171,0.1125,0.224
0.365373,-0.1584,0.0431,0.1624,0.231
