time,gFx,gFy,gFz,TgF
0.00420776,-0.0603,0.9847,0.0029,0.987
0.004737291,-0.0667,0.9842,0.0024,0.986
0.004954583,-0.0679,0.9867,0.0049,0.989
0.00517401,-0.0689,0.9874,0.0059,0.990
0.005446093,-0.0674,0.9906,0.0054,0.993
0.005606562,-0.0628,0.9911,0.0044,0.993
0.005783541,-0.0610,0.9916,0.0024,0.993
0.005940885,-0.0579,0.9945,0.0017,0.996
0.006130729,-0.0464,0.9947,0.0020,0.996
0.006320573,-0.0386,0.9964,0.0017,0.997
0.006502239,-0.0305,0.9964,0.0020,0.997
0.008213645,-0.0237,0.9986,0.0002,0.999
0.011114739,-0.0132,0.9969,-0.0007,0.997
0.015297552,-0.0110,0.9957,-0.0005,0.996
0.015636562,-0.0039,0.9989,-0.0037,0.999
0.017162916,-0.0010,0.9972,-0.0034,0.997
0.019404583,-0.0007,0.9969,-0.0032,0.997
0.021788385,-0.0007,0.9981,-0.0032,0.998
0.023979166,0.0005,0.9964,0.0005,0.996
0.026346093,-0.0027,0.9957,-0.0020,0.996
0.028891979,-0.0022,0.9964,-0.0010,0.996
0.031542031,-0.0054,0.9957,-0.0017,0.996
0.033696145,-0.0056,0.9945,-0.0063,0.995
0.036356927,-0.0073,0.9947,-0.0083,0.995
0.03845052,-0.0103,0.9911,-0.0085,0.991
0.04072927,-0.0134,0.9896,-0.0103,0.990
0.043206406,-0.0178,0.9898,-0.0125,0.990
0.046065208,-0.0215,0.9884,-0.0146,0.989
0.04824552,-0.0249,0.9918,-0.0137,0.992
0.050582864,-0.0291,0.9898,-0.0107,0.990
0.053036979,-0.0337,0.9901,-0.0056,0.991
0.055249948,-0.0369,0.9901,-0.0051,0.991
0.058085156,-0.0418,0.9911,-0.0010,0.992
0.060120885,-0.0452,0.9913,0.0000,0.992
0.062596875,-0.0479,0.9950,0.0037,0.996
0.065008854,-0.0503,0.9952,0.0015,0.996
0.067373073,-0.0510,0.9986,0.0005,1.000
0.069789375,-0.0520,0.9986,0.0027,1.000
0.07219302,-0.0503,0.9996,0.0032,1.001
0.074506145,-0.0501,0.9986,0.0022,1.000
0.076932239,-0.0435,1.0003,0.0051,1.001
0.081676198,-0.0405,0.9989,0.0081,1.000
0.082066875,-0.0356,0.9955,0.0068,0.996
0.08432052,-0.0315,0.9969,0.0071,0.997
0.086554531,-0.0249,0.9955,0.0063,0.996
0.088977239,-0.0212,0.9947,0.0039,0.995
0.091200573,-0.0142,0.9928,0.0010,0.993
0.095383281,-0.0129,0.9930,0.0017,0.993
0.100728385,-0.0107,0.9933,0.0049,0.993
0.101222343,-0.0059,0.9896,0.0061,0.990
0.101480677,-0.0024,0.9889,0.0017,0.989
0.103459218,0.0002,0.9894,-0.0007,0.989
0.105750781,-0.0007,0.9857,-0.0042,0.986
0.108211354,-0.0044,0.9859,-0.0095,0.986
0.11035,-0.0049,0.9847,-0.0120,0.985
0.113708437,-0.0112,0.9852,-0.0146,0.985
0.115232135,-0.0159,0.9864,-0.0149,0.987
0.118102708,-0.0232,0.9894,-0.0122,0.990
0.12122,-0.0315,0.9901,-0.0122,0.991
0.122278229,-0.0403,0.9940,-0.0105,0.995
0.124962343,-0.0442,0.9974,-0.0083,0.998
0.13047526,-0.0542,0.9962,-0.0088,0.998
0.131803645,-0.0562,0.9977,-0.0044,0.999
0.132939687,-0.0630,0.9991,-0.0046,1.001
0.135591406,-0.0623,0.9974,-0.0034,0.999
0.13670677,-0.0664,0.9977,-0.0046,1.000
0.13920177,-0.0640,0.9974,-0.0037,0.999
0.141560729,-0.0601,0.9960,-0.0056,0.998
0.143996093,-0.0557,0.9928,-0.0076,0.994
0.146296614,-0.0527,0.9923,-0.0088,0.994
0.148830781,-0.0415,0.9920,-0.0103,0.993
0.151681875,-0.0349,0.9869,-0.0122,0.988
0.153519739,-0.0308,0.9864,-0.0120,0.987
0.15591927,-0.0205,0.9869,-0.0112,0.987
0.158251145,-0.0142,0.9877,-0.0098,0.988
0.16061927,-0.0122,0.9872,-0.0098,0.987
0.163890937,-0.0066,0.9877,-0.0100,0.988
0.165917343,-0.0032,0.9874,-0.0083,0.987
0.167957187,-0.0024,0.9898,-0.0071,0.990
0.170558125,0.0002,0.9906,-0.0085,0.991
0.172733385,-0.0017,0.9901,-0.0107,0.990
0.175068958,-0.0022,0.9896,-0.0105,0.990
0.177952864,-0.0039,0.9894,-0.0122,0.989
0.179960364,-0.0032,0.9877,-0.0110,0.988
0.182442968,-0.0049,0.9923,-0.0083,0.992
0.184854687,-0.0081,0.9903,-0.0039,0.990
0.187169062,-0.0107,0.9920,0.0022,0.992
0.189535833,-0.0132,0.9942,0.0027,0.994
0.191974687,-0.0161,0.9947,0.0046,0.995
0.194175468,-0.0208,0.9962,0.0083,0.996
0.19708901,-0.0212,0.9955,0.0066,0.996
0.199053802,-0.0242,0.9940,0.0034,0.994
0.201558541,-0.0225,0.9925,-0.0002,0.993
0.203870104,-0.0239,0.9938,-0.0066,0.994
0.206300364,-0.0278,0.9925,-0.0083,0.993
0.208712083,-0.0303,0.9896,-0.0095,0.990
0.21112927,-0.0439,0.9859,-0.0112,0.987
0.215176458,-0.0356,0.9894,-0.0068,0.990
0.216175208,-0.0295,0.9920,-0.0044,0.992
0.218092083,-0.0251,0.9945,0.0024,0.995
0.220505572,-0.0212,0.9974,0.0046,0.998
0.223119062,-0.0181,1.0006,0.0090,1.001
0.225518177,-0.0178,0.9996,0.0120,1.000
0.227982864,-0.0171,0.9999,0.0149,1.000
0.23090875,-0.0164,0.9991,0.0142,0.999
0.232706197,-0.0181,0.9996,0.0071,1.000
0.235102604,-0.0159,0.9957,-0.0005,0.996
0.237552343,-0.0181,0.9974,-0.0081,0.998
0.23992427,-0.0164,0.9967,-0.0117,0.997
0.242214687,-0.0178,0.9967,-0.0149,0.997
0.244576354,-0.0210,0.9947,-0.0142,0.995
0.24757026,-0.0188,0.9950,-0.0100,0.995
0.249634218,-0.0227,0.9928,-0.0112,0.993
0.251998385,-0.0232,0.9889,-0.0085,0.989
