time,gFx,gFy,gFz,TgF
0.002117187,-0.0132,1.0025,0.0391,1.003
0.002460573,-0.0134,1.0006,0.0337,1.001
0.002626927,-0.0193,0.9962,0.0300,0.997
0.002798177,-0.0264,0.9930,0.0273,0.994
0.002962396,-0.0305,0.9896,0.0247,0.990
0.00611526,-0.0356,0.9889,0.0220,0.990
0.008377968,-0.0391,0.9898,0.0230,0.991
0.009631458,-0.0439,0.9908,0.0256,0.992
0.012228437,-0.0466,0.9884,0.0300,0.990
0.014527343,-0.0469,0.9891,0.0313,0.991
0.016577916,-0.0466,0.9891,0.0352,0.991
0.020178854,-0.0425,0.9903,0.0330,0.992
0.021507552,-0.0383,0.9891,0.0342,0.990
0.02515151,-0.0295,0.9886,0.0286,0.989
0.026449427,-0.0273,0.9935,0.0254,0.994
0.028901458,-0.0225,0.9925,0.0212,0.993
0.031283541,-0.0176,0.9930,0.0154,0.993
0.034782448,-0.0122,0.9957,0.0120,0.996
0.035681927,-0.0159,0.9974,0.0120,0.998
0.039565781,-0.0159,1.0011,0.0129,1.001
0.041574323,-0.0186,0.9979,0.0168,0.998
0.043569166,-0.0190,1.0011,0.0188,1.001
0.045688021,-0.0230,1.0011,0.0251,1.002
0.048129427,-0.0261,0.9996,0.0291,1.000
0.051576979,-0.0283,1.0013,0.0339,1.002
0.052734375,-0.0308,0.9994,0.0335,1.000
0.05493151,-0.0349,0.9974,0.0337,0.999
0.057851562,-0.0339,0.9942,0.0339,0.995
0.060141406,-0.0320,0.9923,0.0339,0.993
0.062595573,-0.0327,0.9911,0.0315,0.992
0.064518021,-0.0308,0.9886,0.0298,0.990
0.06718026,-0.0293,0.9867,0.0283,0.988
0.069680885,-0.0300,0.9881,0.0266,0.989
0.071871718,-0.0300,0.9862,0.0251,0.987
0.074663281,-0.0308,0.9874,0.0271,0.988
0.076636198,-0.0295,0.9891,0.0269,0.990
0.079883073,-0.0347,0.9903,0.0259,0.991
0.082450208,-0.0344,0.9903,0.0269,0.991
0.084431666,-0.0344,0.9940,0.0271,0.995
0.086799583,-0.0342,0.9940,0.0308,0.995
0.089475052,-0.0305,0.9913,0.0332,0.992
0.104210937,-0.0298,0.9925,0.0347,0.994
0.105105364,-0.0259,0.9916,0.0354,0.993
0.10581776,-0.0208,0.9916,0.0349,0.992
0.106210364,-0.0166,0.9903,0.0356,0.991
0.106571458,-0.0132,0.9911,0.0339,0.992
0.10691151,-0.0120,0.9913,0.0317,0.992
0.107319948,-0.0137,0.9940,0.0291,0.995
0.111101562,-0.0127,0.9940,0.0298,0.995
0.112024531,-0.0125,0.9969,0.0278,0.997
0.11295052,-0.0129,0.9999,0.0291,1.000
0.119021302,-0.0171,1.0003,0.0281,1.001
0.119790468,-0.0171,1.0025,0.0317,1.003
0.120269323,-0.0183,1.0040,0.0300,1.005
0.123333802,-0.0198,1.0016,0.0325,1.002
0.136347916,-0.0208,1.0025,0.0327,1.003
0.137512083,-0.0195,1.0008,0.0327,1.002
0.137921614,-0.0203,1.0006,0.0337,1.001
0.138235677,-0.0193,0.9989,0.0291,0.999
0.138586041,-0.0166,0.9960,0.0286,0.997
0.139325208,-0.0156,0.9933,0.0259,0.994
0.13973125,-0.0129,0.9896,0.0212,0.990
0.144165312,-0.0134,0.9894,0.0186,0.990
0.14463526,-0.0105,0.9877,0.0129,0.988
