time,gFx,gFy,gFz,TgF
0.001711667,-0.0645,0.9828,0.0408,0.986
0.002073021,-0.0742,0.9825,0.0408,0.986
0.002276407,-0.0837,0.9859,0.0408,0.990
0.002519271,-0.0921,0.9874,0.0352,0.992
0.002733542,-0.0979,0.9918,0.0330,0.997
0.00513849,-0.1023,0.9925,0.0283,0.998
0.007452292,-0.1035,0.9940,0.0271,1.000
0.010791198,-0.1035,0.9969,0.0210,1.003
0.012423594,-0.0979,0.9935,0.0178,0.998
0.014765313,-0.0945,0.9962,0.0203,1.001
0.016909896,-0.0886,0.9942,0.0205,0.998
0.019631719,-0.0772,0.9969,0.0200,1.000
0.022723386,-0.0684,0.9947,0.0242,0.997
0.025143542,-0.0625,0.9938,0.0261,0.996
0.026826979,-0.0549,0.9920,0.0293,0.994
0.029045625,-0.0486,0.9928,0.0295,0.994
0.031468959,-0.0425,0.9950,0.0303,0.996
0.03408849,-0.0386,0.9930,0.0310,0.994
0.036258698,-0.0396,0.9940,0.0291,0.995
0.03871099,-0.0359,0.9938,0.0278,0.995
0.041056771,-0.0361,0.9945,0.0281,0.996
0.043896771,-0.0364,0.9945,0.0264,0.996
0.046066563,-0.0383,0.9933,0.0269,0.994
0.048356667,-0.0366,0.9938,0.0264,0.995
0.050638177,-0.0398,0.9935,0.0247,0.995
0.053050261,-0.0430,0.9913,0.0234,0.993
0.055211823,-0.0474,0.9923,0.0193,0.994
0.057994896,-0.0479,0.9928,0.0193,0.994
0.062050052,-0.0501,0.9923,0.0190,0.994
0.06251375,-0.0557,0.9918,0.0215,0.994
0.065096198,-0.0586,0.9903,0.0203,0.992
0.067551667,-0.0628,0.9935,0.0227,0.996
0.06997625,-0.0662,0.9930,0.0264,0.996
0.072302813,-0.0693,0.9933,0.0271,0.996
0.074613334,-0.0696,0.9957,0.0266,0.998
0.077688229,-0.0740,0.9938,0.0286,0.997
0.079240052,-0.0747,0.9920,0.0315,0.995
0.082977188,-0.0759,0.9918,0.0335,0.995
0.085084011,-0.0728,0.9938,0.0359,0.997
0.086347344,-0.0757,0.9898,0.0383,0.993
0.08872875,-0.0698,0.9894,0.0400,0.993
0.091241719,-0.0667,0.9920,0.0376,0.995
0.094985729,-0.0647,0.9918,0.0322,0.994
0.096330938,-0.0647,0.9920,0.0293,0.995
0.098547552,-0.0625,0.9938,0.0291,0.996
0.100797552,-0.0613,0.9957,0.0259,0.998
0.104183125,-0.0588,0.9947,0.0249,0.997
0.106600313,-0.0581,0.9945,0.0217,0.996
0.108075729,-0.0549,0.9957,0.0225,0.997
0.110752709,-0.0547,0.9962,0.0217,0.998
0.11322724,-0.0503,0.9947,0.0242,0.996
0.115455625,-0.0498,0.9957,0.0239,0.997
0.117836615,-0.0471,0.9930,0.0281,0.995
0.120081511,-0.0447,0.9940,0.0264,0.995
0.122534167,-0.0415,0.9916,0.0254,0.993
0.124925313,-0.0415,0.9916,0.0215,0.993
0.127671146,-0.0437,0.9913,0.0176,0.992
0.129858125,-0.0459,0.9925,0.0168,0.994
0.132123229,-0.0449,0.9898,0.0144,0.991
0.13465349,-0.0452,0.9908,0.0142,0.992
0.136905782,-0.0479,0.9916,0.0164,0.993
0.139264948,-0.0513,0.9911,0.0200,0.993
0.142808021,-0.0525,0.9908,0.0198,0.992
0.144281354,-0.0552,0.9938,0.0227,0.996
0.146491823,-0.0623,0.9947,0.0220,0.997
0.148909688,-0.0635,0.9972,0.0232,0.999
0.151260782,-0.0647,0.9967,0.0208,0.999
0.153874115,-0.0696,0.9974,0.0203,1.000
0.156116615,-0.0708,0.9989,0.0168,1.002
0.159709584,-0.0757,0.9994,0.0171,1.002
0.161452448,-0.0784,0.9999,0.0154,1.003
0.163292813,-0.0798,0.9996,0.0142,1.003
0.165773282,-0.0830,1.0013,0.0103,1.005
0.168054219,-0.0835,1.0006,0.0117,1.004
0.170250886,-0.0830,1.0001,0.0134,1.004
0.173168698,-0.0818,0.9977,0.0151,1.001
0.178003229,-0.0789,0.9986,0.0193,1.002
0.178296927,-0.0740,0.9957,0.0220,0.999
0.180137188,-0.0693,0.9916,0.0247,0.994
0.182575417,-0.0610,0.9889,0.0249,0.991
0.184928021,-0.0566,0.9869,0.0264,0.989
0.1871825,-0.0518,0.9842,0.0254,0.986
0.189579896,-0.0427,0.9842,0.0212,0.985
0.192691042,-0.0356,0.9835,0.0190,0.984
0.194954584,-0.0310,0.9837,0.0137,0.984
0.196841667,-0.0244,0.9867,0.0132,0.987
0.199074844,-0.0225,0.9859,0.0042,0.986
0.201627084,-0.0205,0.9901,0.0012,0.990
0.203968229,-0.0195,0.9920,-0.0032,0.992
0.206342657,-0.0200,0.9952,-0.0032,0.995
0.209607813,-0.0212,0.9974,-0.0029,0.998
0.211505938,-0.0222,0.9994,-0.0051,1.000
0.213722396,-0.0254,1.0011,-0.0022,1.001
0.216068907,-0.0286,0.9996,-0.0002,1.000
0.218399636,-0.0325,0.9969,-0.0017,0.997
0.220765521,-0.0374,0.9933,-0.0017,0.994
0.223182448,-0.0378,0.9877,-0.0059,0.988
0.226466667,-0.0408,0.9833,-0.0032,0.984
0.228426615,-0.0474,0.9859,0.0059,0.987
0.230472396,-0.0540,0.9881,0.0156,0.990
0.233109688,-0.0557,0.9925,0.0244,0.994
0.235308177,-0.0591,0.9957,0.0339,0.998
0.237496406,-0.0557,0.9994,0.0400,1.002
0.239913438,-0.0540,1.0001,0.0452,1.003
0.24293224,-0.0505,0.9991,0.0466,1.001
0.245157969,-0.0518,1.0013,0.0459,1.004
0.247147031,-0.0518,0.9984,0.0413,1.001
0.249888177,-0.0542,0.9977,0.0361,1.000
0.251935156,-0.0571,0.9969,0.0291,0.999
0.254428177,-0.0591,0.9930,0.0230,0.995
0.256735104,-0.0596,0.9903,0.0208,0.992
0.259795052,-0.0613,0.9881,0.0166,0.990
0.261807084,-0.0652,0.9872,0.0168,0.989
0.263935729,-0.0662,0.9842,0.0176,0.987
0.266473281,-0.0662,0.9830,0.0198,0.985
0.268798542,-0.0701,0.9820,0.0269,0.985
0.271103125,-0.0718,0.9820,0.0339,0.985
0.273629219,-0.0730,0.9828,0.0400,0.986
0.279054271,-0.0781,0.9830,0.0427,0.987
0.279444844,-0.0813,0.9837,0.0457,0.988
0.280937188,-0.0857,0.9855,0.0454,0.990
0.283561302,-0.0923,0.9901,0.0452,0.995
0.285620781,-0.0960,0.9908,0.0413,0.996
0.288151094,-0.1001,0.9955,0.0398,1.001
0.290255365,-0.1038,0.9945,0.0378,1.001
0.295614479,-0.1060,0.9962,0.0359,1.002
0.295993542,-0.1091,0.9989,0.0344,1.005
0.297549479,-0.1104,0.9981,0.0320,1.005
0.299877604,-0.1106,0.9972,0.0308,1.004
0.302132292,-0.1091,0.9957,0.0327,1.002
0.304390573,-0.1101,0.9923,0.0310,0.999
0.307103854,-0.1140,0.9820,0.0266,0.989
0.309359063,-0.1116,0.9767,0.0266,0.983
0.311954427,-0.1077,0.9725,0.0247,0.979
0.314362396,-0.1025,0.9710,0.0227,0.977
0.316716823,-0.0999,0.9745,0.0261,0.980
0.319070104,-0.0957,0.9806,0.0283,0.986
0.321462084,-0.0913,0.9862,0.0339,0.991
0.323796667,-0.0881,0.9930,0.0369,0.998
0.326389167,-0.0872,0.9962,0.0420,1.001
0.328823906,-0.0801,1.0025,0.0442,1.007
0.331074427,-0.0796,1.0082,0.0469,1.012
0.333478854,-0.0754,1.0096,0.0432,1.013
0.335851511,-0.0713,1.0096,0.0371,1.013
0.338191354,-0.0662,1.0074,0.0310,1.010
0.340557448,-0.0657,1.0047,0.0220,1.007
0.343244479,-0.0635,1.0013,0.0134,1.003
0.345751511,-0.0610,0.9974,0.0071,0.999
0.347967969,-0.0588,0.9901,0.0020,0.992
0.350276302,-0.0571,0.9869,-0.0032,0.989
0.353104271,-0.0566,0.9837,-0.0024,0.985
0.3549625,-0.0520,0.9815,0.0015,0.983
0.357239896,-0.0520,0.9789,0.0054,0.980
0.362382865,-0.0496,0.9793,0.0154,0.981
0.362825781,-0.0505,0.9815,0.0212,0.983
0.365485209,-0.0488,0.9820,0.0330,0.984
0.368204844,-0.0461,0.9842,0.0430,0.986
0.370126094,-0.0469,0.9837,0.0501,0.986
0.37193875,-0.0476,0.9855,0.0547,0.988
0.374085625,-0.0481,0.9884,0.0566,0.991
0.377487188,-0.0491,0.9916,0.0520,0.994
0.37911349,-0.0515,0.9930,0.0496,0.996
0.382026823,-0.0527,0.9945,0.0437,0.997
0.383818646,-0.0549,0.9972,0.0386,0.999
0.385867969,-0.0603,1.0008,0.0305,1.003
0.388232709,-0.0613,1.0025,0.0249,1.005
0.391626563,-0.0642,1.0023,0.0220,1.005
0.394922448,-0.0667,1.0045,0.0171,1.007
0.395674063,-0.0696,1.0030,0.0171,1.006
0.39848,-0.0671,1.0038,0.0210,1.006
0.400344115,-0.0657,1.0018,0.0261,1.004
0.403282188,-0.0630,0.9962,0.0335,0.999
0.405366459,-0.0591,0.9947,0.0371,0.997
0.407739896,-0.0562,0.9911,0.0432,0.994
0.410475886,-0.0491,0.9881,0.0483,0.991
0.412656719,-0.0439,0.9869,0.0481,0.989
0.414996771,-0.0356,0.9830,0.0457,0.985
0.417392917,-0.0313,0.9833,0.0437,0.985
0.420946354,-0.0288,0.9813,0.0369,0.982
0.422141406,-0.0256,0.9835,0.0273,0.984
0.424325,-0.0247,0.9850,0.0222,0.986
